ASIN,Product Name,Product Price,Promo Price,Price Match,Product URL,Seller Type,Condition Type
B0CSZ6VCS7,"GIGABYTE - AORUS CO49DQ - 49"" QD OLED - 5120x1440 DQHD 32:9-1800R - 144Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Super Ultrawide - KVM - HDMI, DP, Type C - Height Adjustable - Black",949.99,1099.99,Mismatch,https://www.amazon.com/dp/B0CSZ6VCS7,Amazon,New
B09SWHZ7F7,"Gigabyte AORUS FI32Q-X 32""QHD SS IPS Gaming -Monitor,Built-in-KVM,2560x1440Display,240Hz RefreshRate,1ms ResponseTime(GTG),1xDisplayPort 1.4,2xHDMI 2.1,3xUSB 3.0,-KVM+USB Type-C",500.35,699.99,Mismatch,https://www.amazon.com/dp/B09SWHZ7F7,Amazon,New
B0D8HD6L6N,"GIGABYTE - AORUS FO27Q2 (SA) - 27"" QD-OLED Gaming Monitor - QHD 2560x1440-240Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black",649.99,699.99,Mismatch,https://www.amazon.com/dp/B0D8HD6L6N,Amazon,New
B0D1RL9D39,"GIGABYTE - AORUS FO27Q3-27"" QD OLED Gaming Monitor - QHD 2560x1440-360Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black",749.99,799.99,Mismatch,https://www.amazon.com/dp/B0D1RL9D39,Amazon,New
B0D51672JM,"GIGABYTE - AORUS FO32U2 Pro - 32"" QD OLED Gaming Monitor - UHD 3840x2160-240Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black",999.99,1299.99,Mismatch,https://www.amazon.com/dp/B0D51672JM,Amazon,New
B0D1RLLPTP,"GIGABYTE - AORUS FO32U2-32"" QD OLED Gaming Monitor - UHD 3840x2160-240Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black",899.99,1099.99,Mismatch,https://www.amazon.com/dp/B0D1RLLPTP,Amazon,New
B0D256HQ2H,"GIGABYTE - AORUS FO48U-R - 48"" OLED Gaming Monitor - UHD 3840x2160-120Hz - 1ms GTG - AMD FreeSync Premium - Type C KVM - HDMI, DP, Type C - Black (RENEWED)",,699.99,Price not available,https://www.amazon.com/dp/B0D256HQ2H,3rd Party,Used
B0926ZVM75,"GIGABYTE G32QC A (32"" 165Hz 1440P Curved Gaming Monitor, 2560 x 1440 VA 1500R , 1ms (MPRT) Response Time, 93% DCI-P3, VESA Display HDR400, FreeSync Premium Pro",239.99,329.99,Mismatch,https://www.amazon.com/dp/B0926ZVM75,Amazon,New
B0DKTRM1H4,"GIGABYTE - G34WQCP - Pro Version - 34"" VA Curved Gaming Monitor - WQHD 3440x1440-180Hz - 1ms MPRT - AMD FreeSync Premium - HDMI, DP, Type C - Height Adjustable - Black",318.03,349.99,Mismatch,https://www.amazon.com/dp/B0DKTRM1H4,3rd Party,Used
B0D68TD621,"GIGABYTE GS27F Advanced - 27"" IPS Gaming Monitor - FHD 1920x1080-180Hz/OC 190Hz - 1ms MPRT - AMD FreeSync - HDMI, DP - Black (GS27F A US)",,194.99,Price not available,https://www.amazon.com/dp/B0D68TD621,3rd Party,Used
B0D1RM2TQW,"GIGABYTE GS27Q Advanced - 27"" IPS Gaming Monitor - QHD 2560x1440-180Hz - 1ms MPRT - AMD FreeSync - HDMI, DP - Black (GS27Q A US)",209.99,244.99,Mismatch,https://www.amazon.com/dp/B0D1RM2TQW,Amazon,New
B0DKTWXTW8,"GIGABYTE - GS27U - 27"" SS IPS Gaming Monitor - UHD 3840x2160-160Hz - 1ms MPRT - AMD FreeSync Premium - HDMI, DP - Black",299.99,349.99,Mismatch,https://www.amazon.com/dp/B0DKTWXTW8,Amazon,New
B0CHSJ32YF,"GIGABYTE GS32Q 31.5"" 165Hz 1440P Gaming Monitor, 2560x1440 SS IPS Display, 1ms (MPRT) Response Time, HDR Ready, 1x Display Port 1.4, 2X HDMI 2.0 (GS32Q SA)",,249.99,Price not available,https://www.amazon.com/dp/B0CHSJ32YF,3rd Party,Used
B0D5DF12VH,"GIGABYTE GS34WQC - 34"" VA Curved Gaming Monitor - WQHD 3440x1440-120Hz/OC 135Hz - 1ms MPRT - AMD FreeSync Premium - HDMI, DP - Black (GS34WQC US)",209.99,324.99,Mismatch,https://www.amazon.com/dp/B0D5DF12VH,Amazon,New
B0DCGPTNKV,"GIGABYTE - M27Q Advanced (US) - 27"" SS IPS Gaming Monitor - QHD 2560x1440-180Hz - 1ms MPRT - AMD FreeSync - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black",279.99,279.99,Match,https://www.amazon.com/dp/B0DCGPTNKV,Amazon,New
B08JWCHR5N,"GIGABYTE M27Q 27"" 165Hz 1440P -KVM Gaming Monitor, 2560 x 1440 SS IPS Display, 0.5ms (MPRT) Response Time, 92% DCI-P3, HDR Ready, FreeSync Premium, 1x Display Port 1.2, 2x HDMI 2.0, 2x USB 3.0",219.99,299.99,Mismatch,https://www.amazon.com/dp/B08JWCHR5N,Amazon,New
B0B5YKGWXS,"GIGABYTE M27Q-SA-R 27"" 170Hz 1440P KVM Gaming Monitor, 2560 x 1440 SS IPS Display, 0.5ms (MPRT) Response Time, HDR Ready, FreeSync Premium, 1x Display Port 1.2, 2X HDMI 2.0, 1x USB Type-C (RENEWED)",,239.99,Price not available,https://www.amazon.com/dp/B0B5YKGWXS,3rd Party,Used
B0D9YV625B,"GIGABYTE M27U Advanced (SA) - 27"" SS IPS Gaming Monitor - UHD 3840x2160-160Hz - 1ms MPRT - AMD FreeSync Premium - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black",449.99,449.99,Match,https://www.amazon.com/dp/B0D9YV625B,Amazon,New
