ASIN,Product Name,Product Price,Promo Price,Price Match,Product URL,Seller Type,Condition Type
B083RVX2FQ,GIGABYTE Z790 AORUS Master X (LGA 1700/ Intel Z790 X/EATX/ DDR5/ 5* M.2/ PCIe 5.0/ USB 3.2 Type-C/Wi-Fi 7/ 10GbE LAN/Q-Flash Plus/EZ-Latch Plus/Motherboard),379.99,379.99,Match,https://www.amazon.com/dp/B083RVX2FQ,Amazon,New
B0CTTVFWHM,"GIGABYTE Z790 AORUS PRO X WIFI7 LGA 1700 Intel Z790 X ATX Motherboard with DDR5, 5* M.2, PCIe 5.0, USB 3.2 Type-C, Wi-Fi 7, 5GbE LAN, Q-Flash Plus, EZ-Latch Plus",269.99,269.99,Match,https://www.amazon.com/dp/B0CTTVFWHM,Amazon,New
B083RW9TJF,GIGABYTE Z790 AORUS PRO X (LGA 1700/ Intel/ Z790 X/ATX/ DDR5/ 5* M.2/ PCIe 5.0/ USB 3.2 Type-C/Wi-Fi 7/ 5GbE LAN/Q-Flash Plus/EZ-Latch Plus/Motherboard),299.99,299.99,Match,https://www.amazon.com/dp/B083RW9TJF,Amazon,New
B083RW9KDM,GIGABYTE Z790 AORUS Elite X WIFI7 (LGA 1700/ Intel/ Z790 X/ATX/ DDR5/ 4* M.2/ PCIe 5.0/ USB 3.2 Type-C/Wi-Fi 7/2.5GbE LAN/Q-Flash Plus/EZ-Latch Plus/Motherboard),259.99,259.99,Match,https://www.amazon.com/dp/B083RW9KDM,Amazon,New
B0CKS6BMH7,GIGABYTE Z790 AORUS Elite AX ICE (LGA 1700/ Intel/ Z790 X/ATX/ DDR5/ 4* M.2/ PCIe 5.0/ USB 3.2 Type-C/Wi-Fi 6E/ 2.5GbE LAN/Q-Flash Plus/EZ-Latch Plus/Motherboard),229.99,229.99,Match,https://www.amazon.com/dp/B0CKS6BMH7,Amazon,New
B0CTNPZLNH,"GIGABYTE Z790 Eagle AX LGA 1700 Intel Z790 ATX Motherboard with DDR5, M.2, PCIe 5.0, USB 3.2 Gen2X2 Type-C, Intel Wi-Fi 6E, 2.5GbE LAN, Q-Flash Plus, EZ-Latch",,169.99,Price not available,https://www.amazon.com/dp/B0CTNPZLNH,3rd Party,Used
B0D8WH39QJ,"GIGABYTE Z790 Gaming Plus AX LGA 1700 Intel Z790 ATX Motherboard with DDR5, Triple M.2, PCIe 4.0, USB 3.2 Gen2 Type-C, Realtek Wi-Fi 6, Realtek LAN, Q-Flash Plus, EZ-Latch",,169.99,Price not available,https://www.amazon.com/dp/B0D8WH39QJ,3rd Party,Used
B0D2RL4PT6,"GIGABYTE Z790 S WiFi DDR4 LGA 1700 Intel Z790 ATX Motherboard with DDR4, Triple M.2, PCIe 4.0, USB 3.2 Gen2 Type-C, 2.5GbE LAN, PCIe EZ-Latch, Multi-Key",119.35,129.99,Mismatch,https://www.amazon.com/dp/B0D2RL4PT6,3rd Party,New
B0BSB6MZ2L,GIGABYTE B760 AORUS Elite AX (LGA 1700/ Intel/ B760/ ATX/ DDR5/ Triple M.2/ PCIe 4.0/ USB 3.2 Gen2X2 Type-C/WiFi 6E/ 2.5GbE LAN/Q-Flash Plus/PCIe EZ-Latch/Gaming Motherboard),179.99,179.99,Match,https://www.amazon.com/dp/B0BSB6MZ2L,Amazon,New
B0BZ54DR5L,GIGABYTE B760 Gaming X AX (LGA 1700/ Intel/ B760/ ATX/DDR5/ M.2/ PCIe 4.0/ USB 3.2 Gen2X2 Type-C/AMD WiFi 6E/ 2.5GbE LAN/Q-Flash Plus/PCIe EZ-Latch/Motherboard),169.99,169.99,Match,https://www.amazon.com/dp/B0BZ54DR5L,Amazon,New
