ASIN,Product Name,Product Price,Promo Price,Price Match,Product URL,Seller Type,Condition Type
B0BRBXF3MW,"GIGABYTE Radeon RX 7900 XTX Gaming OC 24G Graphics Card, 3X WINDFORCE Fans, 24GB 384-bit GDDR6, GV-R79XTXGAMING OC-24GD Video Card",939.99,939.99,Match,https://www.amazon.com/dp/B0BRBXF3MW,Amazon,New
B0BRBX747V,"GIGABYTE Radeon RX 7900 XT Gaming OC 20G Graphics Card, 3X WINDFORCE Fans, 20GB 320-bit GDDR6, GV-R79XTGAMING OC-20GD Video Card",,679.99,Price not available,https://www.amazon.com/dp/B0BRBX747V,3rd Party,Used
B0CGHQ32S2,"GIGABYTE Radeon RX 7800 XT Gaming OC 16G Graphics Card, 3X WINDFORCE Fans 16GB 256-bit GDDR6, GV-R78XTGAMING OC-16GD Video Card",489.99,489.99,Match,https://www.amazon.com/dp/B0CGHQ32S2,Amazon,New
B0CGC5P7H3,"GIGABYTE Radeon RX 7700 XT Gaming OC 12G Graphics Card, 3X WINDFORCE Fans 12GB 192-bit GDDR6, GV-R77XTGAMING OC-12GD Video Card",,399.99,Price not available,https://www.amazon.com/dp/B0CGC5P7H3,3rd Party,Used
B0CSVJZNNX,"GIGABYTE Radeon RX 7600 XT Gaming OC 16G Graphics Card, 3X WINDFORCE Fans 16GB 128-bit GDDR6, GV-R76XTGAMING OC-16GD Video Card",314.99,314.99,Match,https://www.amazon.com/dp/B0CSVJZNNX,Amazon,New
B0C5S9CHMG,"GIGABYTE GV-R76GAMING OC-8GD Radeon RX 7600 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans 8GB 128-bit GDDR6, Video Card",264.99,264.99,Match,https://www.amazon.com/dp/B0C5S9CHMG,Amazon,New
B01IEO05NU,GIGABYTE 2GB RAM DDR3 SDRAM Video Graphics Cards GV-N710D3-2GL REV2.0,42.99,42.99,Match,https://www.amazon.com/dp/B01IEO05NU,Amazon,New
B0CSJVCD3Y,"GIGABYTE GeForce RTX 4070 Ti Super Gaming OC 16G Graphics Card, 3X WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSGAMING OC-16GD Video Card",,824.99,Price not available,https://www.amazon.com/dp/B0CSJVCD3Y,3rd Party,Used
B0CSK87B4R,"GIGABYTE GeForce RTX 4070 Ti Super Eagle OC 16G Graphics Card, 3X WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSEAGLE OC-16GD Video Card",819.99,819.99,Match,https://www.amazon.com/dp/B0CSK87B4R,Amazon,New
B0CSK2GJXP,"GIGABYTE GeForce RTX 4070 Ti Super AERO OC 16G Graphics Card, 3X WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSAERO OC-16GD Video Card",,849.99,Price not available,https://www.amazon.com/dp/B0CSK2GJXP,3rd Party,Used
B0CSJWWDS7,"GIGABYTE GeForce RTX 4070 Super Gaming OC 12G Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SGAMING OC-12GD Video Card",624.99,624.99,Match,https://www.amazon.com/dp/B0CSJWWDS7,Amazon,New
B0CVHD8Y97,"GIGABYTE GeForce RTX 4070 Super Eagle OC ICE 12G Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SEAGLEOC ICE-12GD Video Card",629.99,629.99,Match,https://www.amazon.com/dp/B0CVHD8Y97,Amazon,New
B0CSJYJP6M,"GIGABYTE GeForce RTX 4070 Super Eagle OC 12G Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SEAGLE OC-12GD​ Video Card",614.99,614.99,Match,https://www.amazon.com/dp/B0CSJYJP6M,Amazon,New
B0CSJZ9YK3,"GIGABYTE GeForce RTX 4070 Super AERO OC 12G Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SAERO OC-12GD Video Card",,664.99,Price not available,https://www.amazon.com/dp/B0CSJZ9YK3,3rd Party,Used
B0CT3V77VQ,"GIGABYTE GeForce RTX 4070 AERO OC V2 12G Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N4070AERO OCV2-12GD Video Card",,579.99,Price not available,https://www.amazon.com/dp/B0CT3V77VQ,3rd Party,Used
B0CBW16TL3,"GIGABYTE GeForce RTX 4060 Ti WINDFORCE OC 8G Graphics Card, 2X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N406TWF2OC-8GD Video Card",,389.99,Price not available,https://www.amazon.com/dp/B0CBW16TL3,3rd Party,Used
