ASIN,Product Name,Product Price,Promo Price,Price Match,Product URL,Seller Type,Condition Type
B08KGVH7YC,"GIGABYTE B550 AORUS ELITE AX V2 Motherboard, Supports AMD AM4 Ryzen 5000 Processors, ATX, DDR4, Dual M.2, SATA 6Gb/s, 2.4/5 GHz Dual-Band, 2.5 GbE LAN, PCIe 4.0",134.99,134.99,Match,https://www.amazon.com/dp/B08KGVH7YC,Amazon,New
B0D8WH9NG3,"GIGABYTE B550 AORUS Elite AX V3 Motherboard, Supports AMD AM4 Ryzen 5000 Processors, ATX, DDR4, Dual M.2, SATA 6Gb/s, 2.4/5 GHz Dual-Band, 2.5 GbE LAN, PCIe 4.0",134.99,134.99,Match,https://www.amazon.com/dp/B0D8WH9NG3,Amazon,New
B08LGKGBKT,"Gigabyte B550 Gaming X V2 (AMD Ryzen 5000/B550/ATX/M.2/HDMI/DVI/USB 3.1 Gen 2/DDR4/ATX/Gaming Motherboard), 128 GB",109.99,109.99,Match,https://www.amazon.com/dp/B08LGKGBKT,Amazon,New
B0BZQ1TNW8,"GIGABYTE B550M AORUS Elite AX (rev 1.3) Motherboard, Supports AMD AM4 Ryzen 5000 Processors, Micro-ATX, DDR4, Single M.2, SATA 6Gb/s, Realtek GbE LAN, PCIe 4.0",129.99,129.99,Match,https://www.amazon.com/dp/B0BZQ1TNW8,Amazon,New
B08R5736B3,GIGABYTE B550M DS3H AC (AM4 AMD/B550/Micro ATX/Dual M.2/SATA 6Gb/s/USB 3.2 Gen 1/PCIe 4.0/HMDI/DVI/DDR4/Motherboard),104.99,104.99,Match,https://www.amazon.com/dp/B08R5736B3,Amazon,New
B0BTTZFQTP,"GIGABYTE B550M K Motherboard, Supports AMD AM4 Ryzen 5000 Processors, Micro-ATX, DDR4, Dual M.2, SATA 6Gb/s, Realtek GbE LAN, PCIe 4.0",94.99,94.99,Match,https://www.amazon.com/dp/B0BTTZFQTP,Amazon,New
B0BH79FMW3,GIGABYTE B650 AERO G (AM5/ LGA 1718/ AMD B650/ ATX/ 5-Year Warranty/ DDR5/ PCIe 5.0 M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/Wi-Fi 6E/ Intel 2.5GbE LAN/Motherboard),229.99,229.99,Match,https://www.amazon.com/dp/B0BH79FMW3,Amazon,New
B0BH7GTY9C,"GIGABYTE B650 AORUS Elite AX AMD B650 ATX Motherboard with DDR5, PCIe 5.0, WiFi 6E, 5-Year Warranty",199.99,199.99,Match,https://www.amazon.com/dp/B0BH7GTY9C,Amazon,New
B0CMJSH15D,GIGABYTE B650 AORUS Elite AX ICE (AM5/ LGA 1718/ AMD/ B650/ ATX/ 5-Year Warranty/ DDR5/ Triple M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/WiFi 6E/ 2.5GbE LAN/Snow White/EZ-Latch/Motherboard),209.99,209.99,Match,https://www.amazon.com/dp/B0CMJSH15D,Amazon,New
B0CMK1W2YX,GIGABYTE B650 AORUS Elite AX V2 (AM5/ LGA 1718/ AMD/ B650/ ATX/ 5-Year Warranty/ DDR5/ Triple M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/WiFi 6E/ 2.5GbE LAN/Q-Flash Plus/EZ-Latch/Motherboard),199.99,199.99,Match,https://www.amazon.com/dp/B0CMK1W2YX,Amazon,New
B083TZ68H1,"GIGABYTE B650 Eagle AX AM5 LGA 1718 AMD B650 ATX, DDR5 Triple M.2, PCIe 5.0, USB 3.2 Gen2x2 Type-C, AMD Wi-Fi 6E, Realtek GbE LAN",154.99,154.99,Match,https://www.amazon.com/dp/B083TZ68H1,Amazon,New
B083R826VW,"GIGABYTE B650I AORUS Ultra Mini-ITX AM5 Motherboard with DDR5, PCIe 5.0, Wi-Fi 6E, 5-Year Warranty",,239.99,Price not available,https://www.amazon.com/dp/B083R826VW,3rd Party,Used
B0BH6XND27,GIGABYTE B650M AORUS Elite AX (AM5/ LGA 1718/ AMD B650/ Micro-ATX/ 5-Year Warranty/ DDR5/ 2* M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/Intel 2.5GbE LAN/Q-Flash Plus/EZ-Latch/Gaming Motherboard),179.99,179.99,Match,https://www.amazon.com/dp/B0BH6XND27,Amazon,New
B083SJLWL9,"GIGABYTE B650M AORUS Elite AX ICE AM5 LGA 1718 AMD B650 M-ATX Motherboard with 5-Year Warranty, DDR5, 2* M.2, PCIe 5.0, USB 3.2 Gen2X2 Type-C, 2.5GbE LAN, Q-Flash Plus, EZ-Latch",189.99,189.99,Match,https://www.amazon.com/dp/B083SJLWL9,Amazon,New
B0CH92B3S2,GIGABYTE B650M D3HP (AM5/ LGA 1718/ AMD/ B650/ Micro ATX/ 5-Year Warranty/ DDR5/ 2X PCIe 4.0 M.2/ PCIe 4.0/ USB 3.2 Gen2 Type-C/ 2.5GbE LAN/Motherboard),119.99,119.99,Match,https://www.amazon.com/dp/B0CH92B3S2,Amazon,New
B0CTTXH95Q,"GIGABYTE B650M D3HP AX (rev. 1.0) AM5 LGA 1718 AMD B650 M-ATX DDR5, 2X PCIe 4.0 M.2, PCIe 4.0, USB 3.2 Gen2 Type-C, Wi-Fi 6E, 2.5GbE LAN",129.99,129.99,Match,https://www.amazon.com/dp/B0CTTXH95Q,Amazon,New
B0D2V4VH2C,"GIGABYTE B650M Gaming Plus WiFi AM5 LGA 1718 AMD B650 M-ATX, DDR5, PCIe 4.0 M.2, PCIe 4.0, USB 3.2 Gen 1 Type-C, Wi-Fi 6E, 2.5GbE LAN",139.99,139.99,Match,https://www.amazon.com/dp/B0D2V4VH2C,Amazon,New
B0BSB6MZ2L,GIGABYTE B760 AORUS Elite AX (LGA 1700/ Intel/ B760/ ATX/ DDR5/ Triple M.2/ PCIe 4.0/ USB 3.2 Gen2X2 Type-C/WiFi 6E/ 2.5GbE LAN/Q-Flash Plus/PCIe EZ-Latch/Gaming Motherboard),179.99,179.99,Match,https://www.amazon.com/dp/B0BSB6MZ2L,Amazon,New
B0BZ54DR5L,GIGABYTE B760 Gaming X AX (LGA 1700/ Intel/ B760/ ATX/DDR5/ M.2/ PCIe 4.0/ USB 3.2 Gen2X2 Type-C/AMD WiFi 6E/ 2.5GbE LAN/Q-Flash Plus/PCIe EZ-Latch/Motherboard),159.99,159.99,Match,https://www.amazon.com/dp/B0BZ54DR5L,Amazon,New
B0C4CKCRYW,GIGABYTE B760I AORUS PRO (LGA 1700/ Intel/ B760/ Mini-ITX/ DDR5/ Dual M.2/ PCIe 4.0/ USB 3.2 Gen2X2 Type-C/WiFi 6E/ Intel 2.5GbE LAN/Q-Flash Plus/Motherboard),175.07,199.99,Mismatch,https://www.amazon.com/dp/B0C4CKCRYW,3rd Party,Used
B0BSP61QZC,GIGABYTE B760M DS3H AX (LGA 1700/ Intel/ B760/ M-ATX/ DDR5/ 2* M.2/ PCIe 4.0/ USB 3.2 Gen 2 Type-C/WiFi 6E/ 2.5GbE LAN/Q-Flash Plus/PCIe EZ-Latch/Motherboard),129.99,129.99,Match,https://www.amazon.com/dp/B0BSP61QZC,Amazon,New
B0BSB6MB15,GIGABYTE B760M DS3H DDR4 (LGA 1700/ Intel/ B760/ M-ATX/ DDR4/ Dual M.2/ PCIe 4.0/ USB 3.2 Gen 2 Type-C/ 2.5GbE LAN/Q-Flash Plus/PCIe EZ-Latch/Gaming Motherboard),109.99,109.99,Match,https://www.amazon.com/dp/B0BSB6MB15,Amazon,New
B0D54QJ9CJ,"GIGABYTE B760M Gaming Plus WiFi DDR4 LGA 1700 Intel B760 M-ATX Motherboard with DDR4, 2* M.2, PCIe 4.0, Front USB 3.2 Gen 1 Type-C, WiFi 6 GbE LAN, Q-Flash Plus, PCIe EZ-Latch",139.99,139.99,Match,https://www.amazon.com/dp/B0D54QJ9CJ,Amazon,New
