ASIN,Product Name,Product Price,Promo Price,Price Match,Product URL,Seller Type,Condition Type
B0CSZ6VCS7,"GIGABYTE - AORUS CO49DQ - 49"" QD OLED - 5120x1440 DQHD 32:9-1800R - 144Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Super Ultrawide - KVM - HDMI, DP, Type C - Height Adjustable - Black",899.99,899.99,Match,https://www.amazon.com/dp/B0CSZ6VCS7,Amazon,New
B0947K1VRX,"Gigabyte AORUS FV43U 43"" 144Hz 2160p HBR3, NVIDIA G-SYNC Compatible, Exclusive Built-in ANC, 3840x2160 Display, 1ms Response Time, HDR, 96% DCI-P3, 1 DisplayPort 1.4, 2 HDMI 2.1, 2 USB 3.0, 1 USB C",599.99,599.99,Match,https://www.amazon.com/dp/B0947K1VRX,3rd Party,Used
B0D51672JM,"GIGABYTE - AORUS FO32U2 Pro - 32"" QD OLED Gaming Monitor - UHD 3840x2160-240Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black",999.99,999.99,Match,https://www.amazon.com/dp/B0D51672JM,Amazon,New
B0D1RLLPTP,"GIGABYTE - AORUS FO32U2-32"" QD OLED Gaming Monitor - UHD 3840x2160-240Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black",799.99,899.99,Mismatch,https://www.amazon.com/dp/B0D1RLLPTP,3rd Party,Used
B0D1RL9D39,"GIGABYTE - AORUS FO27Q3-27"" QD OLED Gaming Monitor - QHD 2560x1440-360Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black",649.99,649.99,Match,https://www.amazon.com/dp/B0D1RL9D39,Amazon,New
B0D8HD6L6N,"GIGABYTE - AORUS FO27Q2 (SA) - 27"" QD-OLED Gaming Monitor - QHD 2560x1440-240Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black",599.99,599.99,Match,https://www.amazon.com/dp/B0D8HD6L6N,Amazon,New
B0D6GXXGCZ,"GIGABYTE MO34WQC - 34"" QD-OLED Curved Gaming Monitor - WQHD 3440x1440 - Curved - 175Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black (MO34WQC SA)",,599.99,Price not available,https://www.amazon.com/dp/B0D6GXXGCZ,3rd Party,Used
B09GL7HQ6S,"GIGABYTE M34WQ 34"" 144Hz Ultrawide-KVM Gaming Monitor, 3440 x 1440 IPS Display, 1ms (MPRT) Response Time, 91% DCI-P3, HDR Ready, 1 Display Port 1.4, 2 HDMI 2.0, 2 USB 3.0, 1 USB Type-C",399.99,349.99,Mismatch,https://www.amazon.com/dp/B09GL7HQ6S,3rd Party,Used
B0BF5FFDH8,"GIGABYTE M32U-AE Arm Edition 32"" 144Hz 2160P UHD-KVM Gaming Monitor, 3840 x 2160 4k SS IPS Display, 1ms (GTG) Response Time, 90% DCI-P3, HDR Ready, FreeSync Premium Pro (M32U AE-SA), M Series",629.99,629.99,Match,https://www.amazon.com/dp/B0BF5FFDH8,Amazon,New
B083GRVFXN,"GIGABYTE M32U 32"" 4K 144Hz Gaming Monitor with IPS, 1ms Response Time, HDMI 2.1, USB 3.0 - Black",499.99,499.99,Match,https://www.amazon.com/dp/B083GRVFXN,Amazon,New
B09WPTKDQY,"GIGABYTE M32UC 32"" 144Hz (160Hz OC) 4K UHD Curved Gaming Monitor, SS VA, 3840x2160 Display, 1ms Response Time (MPRT), 1x DisplayPort 1.4, 2x HDMI 2.1, 1x USB Type-C, 4x USB 3.2",489.99,489.99,Match,https://www.amazon.com/dp/B09WPTKDQY,Amazon,New
B09S5ZZ5V7,"GIGABYTE M32QC 32"" 165Hz 1440P QHD -KVM Gaming -Monitor, 2560 x 1440 VA Display, 1ms (MPRT) Response Time, 94% DCI-P3, 1x DisplayPort 1.2(HDR Ready), 2x HDMI 2.0, 3x USB 3.0, 1x USB Type-C",259.99,259.99,Match,https://www.amazon.com/dp/B09S5ZZ5V7,Amazon,New
B0B94TKRVP,"GIGABYTE M28U-AE Arm Edition 28"" 144Hz 2160P UHD-KVM Gaming Monitor, 3840 x 2160 4k SS IPS Display, 1ms (GTG) Response Time, 94% DCI-P3, HDR Ready, FreeSync Premium Pro",399.99,399.99,Match,https://www.amazon.com/dp/B0B94TKRVP,Amazon,New
B0D9YV625B,"GIGABYTE M27U Advanced (SA) - 27"" SS IPS Gaming Monitor - UHD 3840x2160-160Hz - 1ms MPRT - AMD FreeSync Premium - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black",439.99,439.99,Match,https://www.amazon.com/dp/B0D9YV625B,Amazon,New
B0C3Z74ZP5,"GIGABYTE M27U - 27"" IPS Gaming Monitor - UHD 3840x2160 - 160Hz - 1ms MPRT - AMD FreeSync Premium Pro - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black (M27U-SA)",429.99,429.99,Match,https://www.amazon.com/dp/B0C3Z74ZP5,Amazon,New
B09VH8B1XW,"GIGABYTE M27Q X 27"" 240Hz 1440P KVM Gaming Monitor, 2560x1440 SS IPS Display, 1ms ( MPRT ) Response Time, 92% DCI-P3, 1x Display Port 1.4, 2x HDMI 2.0, 2x USB 3.0, 1x USB Type-C (M27Q X-SA)",285.99,299.99,Mismatch,https://www.amazon.com/dp/B09VH8B1XW,Amazon,New
B0DCGRKNKM,"GIGABYTE - M27Q Advanced ICE (SA) - 27"" SS IPS Gaming Monitor - QHD 2560x1440-180Hz - 1ms MPRT - AMD FreeSync - Type C KVM - HDMI, DP, Type C - Height Adjustable - White",279.99,279.99,Match,https://www.amazon.com/dp/B0DCGRKNKM,Amazon,New
B08JWCHR5N,"GIGABYTE M27Q 27"" 165Hz 1440P -KVM Gaming Monitor, 2560 x 1440 SS IPS Display, 0.5ms (MPRT) Response Time, 92% DCI-P3, HDR Ready, FreeSync Premium, 1x Display Port 1.2, 2x HDMI 2.0, 2x USB 3.0",199.99,199.99,Match,https://www.amazon.com/dp/B08JWCHR5N,Amazon,New
B0B4MJBSD9,"Gigabyte S55U 55"" 120Hz 4K UHD Gaming Monitor, VA, 3840x2160 Display, 2ms Response Time (GTG), 2X HDMI 2.1 (48G, eARC), 2X HDMI 2.0, 2X USB 3.2 Gen 1 (S55U-SA),Black",599.99,599.99,Match,https://www.amazon.com/dp/B0B4MJBSD9,Amazon,New
B0DKTRM1H4,"GIGABYTE - G34WQCP - Pro Version - 34"" VA Curved Gaming Monitor - WQHD 3440x1440-180Hz - 1ms MPRT - AMD FreeSync Premium - HDMI, DP, Type C - Height Adjustable - Black",329.99,329.99,Match,https://www.amazon.com/dp/B0DKTRM1H4,Amazon,New
B09JBLHBWJ,"GIGABYTE G34WQC A 34"" 144Hz Ultra-Wide Curved Gaming Monitor, 3440 x 1440 VA 1500R , 1ms (MPRT) Response Time, 90% DCI-P3, VESA Display HDR400, FreeSync Premium, BLACK (G34WQC A-SA)",299.99,299.99,Match,https://www.amazon.com/dp/B09JBLHBWJ,Amazon,New
B0926ZVM75,"GIGABYTE G32QC A (32"" 165Hz 1440P Curved Gaming Monitor, 2560 x 1440 VA 1500R , 1ms (MPRT) Response Time, 93% DCI-P3, VESA Display HDR400, FreeSync Premium Pro",,199.99,Price not available,https://www.amazon.com/dp/B0926ZVM75,3rd Party,Used
B0927BQT33,"GIGABYTE G27QC A (27"" 165Hz 1440P Curved Gaming Monitor, 2560 x 1440 VA 1500R Display, 1ms (MPRT) Response Time, 88% DCI-P3, HDR Ready, 1x Display Port 1.2)",267.64,229.99,Mismatch,https://www.amazon.com/dp/B0927BQT33,3rd Party,New
B0927959GD,"GIGABYTE G27FC A (27"" 165Hz 1080P Curved Gaming Monitor, 1920 x 1080 VA 1500R Display, 1ms (MPRT) Response Time, 91% DCI-P3, FreeSync Premium, 1x Display Port 1.2, 2x HDMI 1.4)",116.92,169.99,Mismatch,https://www.amazon.com/dp/B0927959GD,3rd Party,Used
B0D5DF12VH,"GIGABYTE GS34WQC - 34"" VA Curved Gaming Monitor - WQHD 3440x1440-120Hz/OC 135Hz - 1ms MPRT - AMD FreeSync Premium - HDMI, DP - Black (GS34WQC US)",209.99,209.99,Match,https://www.amazon.com/dp/B0D5DF12VH,Amazon,New
B0DKTWXTW8,"GIGABYTE - GS27U - 27"" SS IPS Gaming Monitor - UHD 3840x2160-160Hz - 1ms MPRT - AMD FreeSync Premium - HDMI, DP - Black",299.99,299.99,Match,https://www.amazon.com/dp/B0DKTWXTW8,Amazon,New
B0CYK4DQD7,"GIGABYTE GS27Q X - 27"" IPS - 2560x1440 QHD - 240Hz/OC 250Hz - 1ms - AMD FreeSync Premium - HDMI, DP - Black (GS27Q X SA)",249.99,249.99,Match,https://www.amazon.com/dp/B0CYK4DQD7,Amazon,New
B0D1RM2TQW,"GIGABYTE GS27Q Advanced - 27"" IPS Gaming Monitor - QHD 2560x1440-180Hz - 1ms MPRT - AMD FreeSync - HDMI, DP - Black (GS27Q A US)",194.49,209.99,Mismatch,https://www.amazon.com/dp/B0D1RM2TQW,3rd Party,New
B0CCSX399J,"GIGABYTE GS27QC 27"" 165Hz 1440P Curved Gaming Monitor, 2560 x 1440 VA 1500R Display, 1ms (MPRT) Response Time, HDR Ready, FreeSync Premium, 1x Display Port 1.4, 2X HDMI 2.0,Black",179.99,199.99,Mismatch,https://www.amazon.com/dp/B0CCSX399J,Amazon,New
B0CG2N4N75,"GIGABYTE GS27F 27"" 165Hz 1080P Gaming Monitor, 1920 x 1080 SS IPS Display, 1ms (MPRT) Response Time, HDR Ready, FreeSync Premium, 1x Display Port 1.4, 2X HDMI 2.0,Black",,159.99,Price not available,https://www.amazon.com/dp/B0CG2N4N75,3rd Party,Used
