ASIN,Product Name,Product Price,Promo Price,Price Match,Product URL,Seller Type,Condition Type
B0BRBXF3MW,"GIGABYTE Radeon RX 7900 XTX Gaming OC 24G Graphics Card, 3X WINDFORCE Fans, 24GB 384-bit GDDR6, GV-R79XTXGAMING OC-24GD Video Card",,949.99,Price not available,https://www.amazon.com/dp/B0BRBXF3MW,3rd Party,Used
B0CGHQ32S2,"GIGABYTE Radeon RX 7800 XT Gaming OC 16G Graphics Card, 3X WINDFORCE Fans 16GB 256-bit GDDR6, GV-R78XTGAMING OC-16GD Video Card",,489.99,Price not available,https://www.amazon.com/dp/B0CGHQ32S2,3rd Party,Used
B0CGC5P7H3,"GIGABYTE Radeon RX 7700 XT Gaming OC 12G Graphics Card, 3X WINDFORCE Fans 12GB 192-bit GDDR6, GV-R77XTGAMING OC-12GD Video Card",399.97,404.99,Mismatch,https://www.amazon.com/dp/B0CGC5P7H3,Amazon,New
B0CSVJZNNX,"GIGABYTE Radeon RX 7600 XT Gaming OC 16G Graphics Card, 3X WINDFORCE Fans 16GB 128-bit GDDR6, GV-R76XTGAMING OC-16GD Video Card",314.99,314.99,Match,https://www.amazon.com/dp/B0CSVJZNNX,Amazon,New
B0C5S9CHMG,"GIGABYTE GV-R76GAMING OC-8GD Radeon RX 7600 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans 8GB 128-bit GDDR6, Video Card",262.34,264.99,Mismatch,https://www.amazon.com/dp/B0C5S9CHMG,3rd Party,Used
B01IEO05NU,GIGABYTE 2GB RAM DDR3 SDRAM Video Graphics Cards GV-N710D3-2GL REV2.0,42.99,42.99,Match,https://www.amazon.com/dp/B01IEO05NU,Amazon,New
B0CSJVCD3Y,"GIGABYTE GeForce RTX 4070 Ti Super Gaming OC 16G Graphics Card, 3X WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSGAMING OC-16GD Video Card",,829.99,Price not available,https://www.amazon.com/dp/B0CSJVCD3Y,3rd Party,Used
B0CSK87B4R,"GIGABYTE GeForce RTX 4070 Ti Super Eagle OC 16G Graphics Card, 3X WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSEAGLE OC-16GD Video Card",,819.99,Price not available,https://www.amazon.com/dp/B0CSK87B4R,3rd Party,Used
B0CSK2GJXP,"GIGABYTE GeForce RTX 4070 Ti Super AERO OC 16G Graphics Card, 3X WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSAERO OC-16GD Video Card",,859.99,Price not available,https://www.amazon.com/dp/B0CSK2GJXP,3rd Party,Used
B0CSJWWDS7,"GIGABYTE GeForce RTX 4070 Super Gaming OC 12G Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SGAMING OC-12GD Video Card",,629.99,Price not available,https://www.amazon.com/dp/B0CSJWWDS7,3rd Party,Used
B0CSJYJP6M,"GIGABYTE GeForce RTX 4070 Super Eagle OC 12G Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SEAGLE OC-12GD​ Video Card",,619.99,Price not available,https://www.amazon.com/dp/B0CSJYJP6M,3rd Party,Used
B0CSJZ9YK3,"GIGABYTE GeForce RTX 4070 Super AERO OC 12G Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SAERO OC-12GD Video Card",,669.99,Price not available,https://www.amazon.com/dp/B0CSJZ9YK3,3rd Party,Used
B0CBW16TL3,"GIGABYTE GeForce RTX 4060 Ti WINDFORCE OC 8G Graphics Card, 2X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N406TWF2OC-8GD Video Card",394.99,394.99,Match,https://www.amazon.com/dp/B0CBW16TL3,Amazon,New
B0C5B9M9JY,"GIGABYTE GV-N406TGAMING OC-8GD GeForce RTX 4060 Ti Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, Video Card",,424.99,Price not available,https://www.amazon.com/dp/B0C5B9M9JY,3rd Party,Used
B0CBVXZDDL,"GIGABYTE GeForce RTX 4060 Ti Gaming OC 16G Graphics Card, 3X WINDFORCE Fans, 16GB 128-bit GDDR6, GV-N406TGAMING OC-16GD Video Card",,489.99,Price not available,https://www.amazon.com/dp/B0CBVXZDDL,3rd Party,Used
B0D2JFYR6R,"GIGABYTE GeForce RTX 4060 Ti Eagle OC ICE 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N406TEAGLEOC ICE-8GD Video Card",,414.99,Price not available,https://www.amazon.com/dp/B0D2JFYR6R,3rd Party,Used
B0C5BZZQBG,"GIGABYTE GeForce RTX 4060 Ti Eagle OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N406TEAGLE OC-8GD Video Card",414.99,414.99,Match,https://www.amazon.com/dp/B0C5BZZQBG,Amazon,New
B0C5C1N668,"GIGABYTE GV-N406TAERO OC-8GD GeForce RTX 4060 Ti AERO OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, Video Card",,444.99,Price not available,https://www.amazon.com/dp/B0C5C1N668,3rd Party,Used
B0CDJLSZ73,"GIGABYTE GeForce RTX 4060 OC Low Profile 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060OC-8GL Video Card",319.99,319.99,Match,https://www.amazon.com/dp/B0CDJLSZ73,Amazon,New
B0C8KQRH32,"GIGABYTE GeForce RTX 4060 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060GAMING OC-8GD Video Card",,309.99,Price not available,https://www.amazon.com/dp/B0C8KQRH32,3rd Party,Used
B0C8K441T1,"GIGABYTE GeForce RTX 4060 Eagle OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060EAGLE OC-8GD Video Card",299.99,299.99,Match,https://www.amazon.com/dp/B0C8K441T1,Amazon,New
B0C8K3DFD9,"GIGABYTE GeForce RTX 4060 AERO OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060AERO OC-8GD Video Card",,324.99,Price not available,https://www.amazon.com/dp/B0C8K3DFD9,3rd Party,Used
B0CLF23DXB,"GIGABYTE GeForce RTX 3060 WINDFORCE OC 12G (rev. 2.0) Graphics Card, 2X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060WF2OC-12GD Rev2.0 Video Card",279.99,279.99,Match,https://www.amazon.com/dp/B0CLF23DXB,Amazon,New
B0971BG25M,"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",294.99,294.99,Match,https://www.amazon.com/dp/B0971BG25M,Amazon,New
B0DQK4XSC7,"GIGABYTE GeForce RTX 3050 WINDFORCE OC V2 6G Graphics Card, 2X WINDFORCE Fans, 6GB GDDR6 96-bit GDDR6, GV-N3050WF2OCV2-6GD Graphics Card",,169.99,Price not available,https://www.amazon.com/dp/B0DQK4XSC7,3rd Party,Used
B0D4XZXLL7,"GIGABYTE GeForce RTX 3050 WINDFORCE OC 6G Graphics Card, 2X WINDFORCE Fans, 6GB GDDR6 96-bit GDDR6, GV-N3050WF2OC-6GD Video Card",169.99,169.99,Match,https://www.amazon.com/dp/B0D4XZXLL7,Amazon,New
B0CVHD8PLP,"GIGABYTE GeForce RTX 3050 OC Low Profile 6G Graphics Card, 2X WINDFORCE Fans, 6GB GDDR6 96-bit GDDR6, GV-N3050OC-6GL Video Card",179.99,179.99,Match,https://www.amazon.com/dp/B0CVHD8PLP,Amazon,New
B07C3DWK1Z,GIGABYTE GV-N1030D4-2GL GeForce GT 1030 Low Profile D4 2G Computer Graphics Card,64.99,64.99,Match,https://www.amazon.com/dp/B07C3DWK1Z,Amazon,New
