ASIN,Product Name,Product Price,Promo Price,Price Match,Product URL,Seller Type,Condition Type
B0CGHQ32S2,"GIGABYTE Radeon RX 7800 XT Gaming OC 16G Graphics Card, 3X WINDFORCE Fans 16GB 256-bit GDDR6, GV-R78XTGAMING OC-16GD Video Card",,489.99,Price not available,https://www.amazon.com/dp/B0CGHQ32S2,3rd Party,Used
B0CGC5P7H3,"GIGABYTE Radeon RX 7700 XT Gaming OC 12G Graphics Card, 3X WINDFORCE Fans 12GB 192-bit GDDR6, GV-R77XTGAMING OC-12GD Video Card",409.99,409.99,Match,https://www.amazon.com/dp/B0CGC5P7H3,Amazon,New
B0CSVJZNNX,"GIGABYTE Radeon RX 7600 XT Gaming OC 16G Graphics Card, 3X WINDFORCE Fans 16GB 128-bit GDDR6, GV-R76XTGAMING OC-16GD Video Card",317.99,317.99,Match,https://www.amazon.com/dp/B0CSVJZNNX,Amazon,New
B0C5S9CHMG,"GIGABYTE GV-R76GAMING OC-8GD Radeon RX 7600 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans 8GB 128-bit GDDR6, Video Card",264.99,269.99,Mismatch,https://www.amazon.com/dp/B0C5S9CHMG,Amazon,New
B01IEO05NU,GIGABYTE 2GB RAM DDR3 SDRAM Video Graphics Cards GV-N710D3-2GL REV2.0,44.99,44.99,Match,https://www.amazon.com/dp/B01IEO05NU,Amazon,New
B0CDJLSZ73,"GIGABYTE GeForce RTX 4060 OC Low Profile 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060OC-8GL Video Card",324.99,324.99,Match,https://www.amazon.com/dp/B0CDJLSZ73,Amazon,New
B0C8K441T1,"GIGABYTE GeForce RTX 4060 Eagle OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060EAGLE OC-8GD Video Card",,304.99,Price not available,https://www.amazon.com/dp/B0C8K441T1,3rd Party,Used
B0CLF23DXB,"GIGABYTE GeForce RTX 3060 WINDFORCE OC 12G (rev. 2.0) Graphics Card, 2X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060WF2OC-12GD Rev2.0 Video Card",,289.99,Price not available,https://www.amazon.com/dp/B0CLF23DXB,3rd Party,Used
B0971BG25M,"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",298.8,299.99,Mismatch,https://www.amazon.com/dp/B0971BG25M,Amazon,New
B0DQK4XSC7,"GIGABYTE GeForce RTX 3050 WINDFORCE OC V2 6G Graphics Card, 2X WINDFORCE Fans, 6GB GDDR6 96-bit GDDR6, GV-N3050WF2OCV2-6GD Graphics Card",164.99,164.99,Match,https://www.amazon.com/dp/B0DQK4XSC7,Amazon,New
B07C3DWK1Z,GIGABYTE GV-N1030D4-2GL GeForce GT 1030 Low Profile D4 2G Computer Graphics Card,64.99,64.99,Match,https://www.amazon.com/dp/B07C3DWK1Z,Amazon,New
